"Чек-лист и результаты выполнения тестов: тестирование вёрстки для тарифа ""повседневный""",,,,
,,,,
№,Описание,Статус Окружение 1 (Firefox 1920x1080),Статус Окружение 2 (ya.browser 800x600),Ссылка на баг-репорт
39,"Окно ""машина забронирована"": Размер текста ""бесплатное ожидание""  16px",FAILED,FAILED,https://tracker.yandex.ru/BUG-975563
40,"Размер окна ""вы уверены что хотите отменить поездку"" составляет 612x199 рх",BLOCKED,BLOCKED,https://tracker.yandex.ru/BUG-975621
41,"Размер окна ""поездка отменена"" составляет 390х205 рх",BLOCKED,BLOCKED,
42,"Окно ""вы уверены, что хотите отменить поездку"": размер кнопок ""да"" ""нет"" составляет 260х54 рх",BLOCKED,BLOCKED,
43,"Окно поездка отменена: размер кнопки ""принято"" составляет 349.2х60 рх",BLOCKED,BLOCKED,
44,Размер текста марки машины в описании тариф составляет 24px,PASSED,PASSED,
,Проверка цвета отображаемых элементов,,,
45,Выбранный тариф подсвечивается серым. Код цвета #f5f4f2,PASSED,PASSED,
46,"Цвет кнопки ""забронировать"" синий #007EFF",PASSED,PASSED,
47,Цвет текста выбранного тарифа повседневный #21201F,PASSED,PASSED,
48,"Цвет фона раскрывающегося списка ""требования к заказу"" серый F4F5F8",PASSED,PASSED,
49,"Кнопка ""забронировать"" цвет текста внутри кнопки белый #FFFFFF",PASSED,PASSED,
50,"Окно ""вы уверены, что хотите отменить поездку"": цвет текста внутри кнопок ""да"" ""нет"" белый #FFFFFF",BLOCKED,BLOCKED,https://tracker.yandex.ru/BUG-975621
51,"Окно поездка отменена: цвет текста внутри кнопки ""принято"" белый #FFFFFF",BLOCKED,BLOCKED,
,Чек-бокс,,,
52,"Содержимое панели ""требования к заказку"" тарифа повседневный : зарядка для телефона. Вид ""чекбокс"". ",PASSED,PASSED,
53,"Чек-бокс включается, если состояние меняется на ""вариант выбран""",PASSED,PASSED,
54,"Чек-бокс выключается, если состояние меняется на ""вариант не выбран""",PASSED,PASSED,
55,"Если чек бокс включить на ""Вариант выбран"", то он отображается в виде включенного переключателя",PASSED,PASSED,
56,Чек-бокс и описание на одном уровне,PASSED,PASSED,
,Раскрывающийся список,,,
57,"Стартовое состояние панели ""требования к заказу"": список свернут",FAILED,FAILED,https://tracker.yandex.ru/BUG-974470
58,Список разворачивается и сворачивавется,PASSED,PASSED,
,Проверка орфографии/грамматики ,,,
59,"В подзаголовке тарифа каршеринга ""повседневный"" - отсутствует точка после n мин.",FAILED,FAILED,https://tracker.yandex.ru/BUG-971899
60,"Подзаголовок тарифа каршеринга ""повседневный"" -  ""15 минут бесплатного ожидания"".",FAILED,FAILED,https://tracker.yandex.ru/BUG-971984
61,"Текст в заголовке формы бронирования ""Просто по делам, ничего лишнего"" ",PASSED,PASSED,
62,"Текст в фичах тарифа ""повседневный""  - видеорегистратор - зарядка для телефона  ",PASSED,PASSED,
63,"Текст в описании  марки тарифа  ""повседневный""  -  BMW 750",PASSED,PASSED,
64,"Содержимое панели ""требования к заказку"" тарифа повседневный : зарядка для телефона. Вид ""чекбокс"". ",PASSED,PASSED,
65,"Содержимое панели ""требования к заказку"" тарифа повседневный : Светомузыка
Доступно в тарифе «Роскошный». ",FAILED,FAILED,https://tracker.yandex.ru/BUG-974540
66,"Текст кнопки ""забронировать"", если все обязательные поля и адреса заполнены, кроме прав: Добавить права и забронировать
Маршрут составит .. км и займет .. мин",FAILED,FAILED,https://tracker.yandex.ru/BUG-974602
67,"Текст кнопки ""забронировать"", если все обязательные поля и адреса заполнены: Забронировать
Маршрут составит .. км и займет .. мин",FAILED,FAILED,https://tracker.yandex.ru/BUG-974629
68,"Текст кнопки ""забронировать"", если все обязательные поля и адреса заполнены, кроме способа оплаты:  Добавить оплату и забронировать
Маршрут составит .. км и займет .. мин",FAILED,FAILED,https://tracker.yandex.ru/BUG-974667
69,"Текст кнопки ""забронировать"", если все обязательные поля заполнены, адреса удалены: Забронировать",BLOCKED,BLOCKED,https://tracker.yandex.ru/BUG-974423
70,"Текст кнопки ""забронировать"", если  обязательные поля не заполнены, адреса удалены: Добавить права и забронировать ",BLOCKED,BLOCKED,https://tracker.yandex.ru/BUG-974423
71,"Если поля «Откуда» и «Куда» заполнены, отображается точная стоимость поездки.",PASSED,PASSED,
72,"Окно ""машина забронирована"": Внутри — марка, номер, иконка и адрес машины, а также стоимость поездки и таймер, который отсчитывает время бесплатного ожидания. ",FAILED,FAILED,https://tracker.yandex.ru/BUG-975466
,"Тестирование надписей в полях ввода ""способ оплаты"" и ""добавить права""",,,
73,"По умолчанию в поле ""способ оплаты""  стоит слово «Добавить».",PASSED,PASSED,
74,"По умолчанию цвет текста   полей ""способ оплаты"" и ""добавить права"" серый #9E9B98",FAILED,FAILED,https://tracker.yandex.ru/BUG-977235
75,Текст  не выходит за границы поля,PASSED,PASSED,
76,"После добавления карты в поле ""способ оплаты"" слово ""добавить"" меняется на ""карта""",PASSED,PASSED,
